Elevation,Aspect,Slope,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,SoilType,WildernessArea,Average_Hillshade,Total_Distance_to_Hydrology
3077,129,3,6296,3261,29,1,203.0,619.4941484792249
2755,320,4,2890,5468,12,1,203.33333333333331,30.01666203960727
3047,28,11,6414,3540,29,1,188.33333333333331,600.1408168088553
2880,86,12,4369,5906,30,1,190.33333333333331,30.14962686336267
3221,292,3,4401,1710,29,1,205.0,426.82197694120674
3182,115,10,4605,1768,29,1,197.33333333333331,553.0904085228743
3064,29,24,5051,2148,29,1,163.33333333333334,156.8948692596415
2827,332,15,3599,6067,29,1,193.33333333333331,42.95346318982906
2518,107,5,553,3522,18,1,200.66666666666663,362.10633797270106
3050,180,4,5782,2721,29,1,206.33333333333331,277.01624501101014
3107,356,12,4855,2069,29,1,191.66666666666663,296.66479400158016
2995,173,15,6312,4135,30,1,206.66666666666663,300.08165555395084
2721,164,4,1747,4191,12,1,205.66666666666663,67.02984409947557
3182,116,7,4425,1854,29,1,199.66666666666663,579.0863493469692
2724,132,11,2720,4875,12,1,198.66666666666663,60.03332407921454
2515,90,9,511,3451,18,1,195.0,315.4203544478384
3017,46,22,5118,2352,29,1,167.0,218.28421839427605
3077,256,4,6230,3734,29,1,207.33333333333331,652.7051401666758
2929,338,8,4393,6106,12,1,198.33333333333331,193.96133635340834
2735,127,12,2806,4924,12,1,197.33333333333331,67.26812023536856
2893,319,20,5825,4667,24,1,191.0,156.0416611036937
3231,45,4,4173,1921,29,1,199.66666666666663,650.6804131061576
2560,89,10,731,3505,29,1,193.0,220.6354459283458
3162,43,15,4657,2188,29,1,180.33333333333331,504.9673256756322
2982,188,14,5501,2750,29,1,210.0,120.01666550941998
2731,66,5,2826,4873,20,1,198.66666666666663,0.0
3172,50,11,4287,2037,20,1,187.66666666666663,759.0
2916,138,21,6349,4206,29,1,190.66666666666663,136.12494260788506
2890,63,17,3670,5757,30,1,177.0,156.95222202950808
2704,45,10,1323,3734,12,1,190.66666666666663,323.74835906920055
3198,23,18,4545,2285,29,1,177.0,630.2507437520403
2985,214,5,5495,3195,29,1,208.66666666666663,347.75422355450985
3011,323,21,5838,4910,24,1,188.66666666666663,471.34912750529196
3024,312,18,5785,4961,24,1,195.66666666666663,505.9693666616587
2763,7,12,2850,4788,24,1,189.66666666666663,86.68333173107735
3244,56,16,3865,2225,40,1,179.0,622.6556030423238
2955,9,10,5167,2819,16,1,193.0,85.58621384311844
3201,10,13,4136,2289,23,1,187.0,1000.3279462256365
2972,36,25,5113,2816,29,1,158.33333333333334,30.0
2985,167,13,5571,3519,29,1,206.0,462.73102338183463
2539,23,17,488,3115,29,1,177.66666666666663,91.2414379544733
3001,260,8,5790,3903,29,1,209.33333333333331,732.3632978242424
2952,51,10,5123,2960,16,1,189.66666666666663,150.8509197850646
2962,211,13,5365,3337,29,1,212.66666666666663,258.6000773395089
3004,0,12,5068,5840,12,1,190.33333333333331,491.40716315495445
2727,45,4,2285,4245,12,1,199.66666666666663,125.76565508913791
3004,167,17,5798,4031,29,1,204.33333333333331,618.3672048225068
2886,22,8,3849,5557,29,1,193.66666666666663,286.6810073932349
3024,344,8,5201,5764,12,1,197.66666666666663,609.1182151274086
3034,187,14,6084,4921,30,1,209.33333333333331,366.23626254099963
2903,279,13,4179,5904,29,1,207.33333333333331,191.7706964058899
2926,245,4,5180,3331,23,1,208.0,30.805843601498726
2942,200,16,5276,3470,29,1,211.33333333333331,181.46349495146399
2991,54,13,4849,6214,12,1,184.33333333333331,499.24943665466463
2742,116,9,2475,4314,12,1,197.66666666666663,151.46286673637206
2606,356,18,911,3174,29,1,181.66666666666663,71.8679344353238
3244,326,5,3730,2460,23,1,202.33333333333331,751.8703345657415
3237,27,14,4002,2506,23,1,184.33333333333331,997.649738134582
2616,359,24,977,3186,29,1,168.33333333333334,44.598206241955516
2913,16,11,3974,5568,29,1,190.0,460.6658224787248
2813,48,7,3018,4729,24,1,195.0,204.0245083317198
2530,149,1,234,2726,29,1,204.33333333333331,323.0510795524448
3260,45,7,3558,2531,40,1,195.0,507.71054745789945
3047,90,3,5484,5635,12,1,201.33333333333331,879.365680476558
2955,60,20,4934,3248,29,1,171.33333333333334,203.69094236121546
2893,77,13,6012,4682,29,1,186.0,85.28774824088158
2965,38,24,4883,3315,29,1,161.66666666666666,251.81342299408902
3037,230,15,5985,5238,29,1,213.0,589.6617674565649
3027,152,10,5316,5912,12,1,203.66666666666663,799.3297192022826
2756,70,16,2501,4210,12,1,181.0,125.0
2939,325,6,4078,5584,20,1,202.33333333333331,513.7548053303249
3198,126,9,4200,2858,19,1,199.66666666666663,418.63229689072006
3195,90,7,4243,2880,23,1,197.33333333333331,362.55206522649956
2975,222,6,5719,4519,29,1,209.0,370.8382396679177
2890,84,13,5918,4761,30,1,188.0,30.265491900843113
3018,109,10,5833,5486,29,1,196.0,825.620372810652
3011,85,5,5389,5975,12,1,198.66666666666663,846.2795046555245
3221,79,16,3968,2868,23,1,181.66666666666663,618.3235399044743
3004,135,7,5383,6017,29,1,202.0,814.7422905434577
2572,49,20,391,2509,29,1,170.0,387.64029718283933
3260,128,11,3824,2854,23,1,198.33333333333331,744.4225950359111
3168,25,4,4426,3180,20,1,199.66666666666663,30.0
2878,349,12,3489,4924,29,1,193.0,67.0
3198,9,8,4099,3076,19,1,195.0,301.8774585821207
2975,260,8,6071,5262,29,1,209.33333333333331,396.531209364408
3178,38,10,4286,3248,29,1,189.33333333333331,0.0
2995,176,10,6068,5533,29,1,208.0,695.3387663578093
2913,144,8,5478,4733,30,1,203.33333333333331,210.95023109728987
2982,175,9,5267,6500,12,1,207.66666666666663,427.6821249479571
2945,209,12,5877,5354,29,1,211.66666666666663,363.78565117387467
2995,143,2,5459,6349,29,1,204.0,631.4190367735201
2942,0,3,4830,6062,20,1,201.33333333333331,0.0
2945,288,5,4801,6034,20,1,205.66666666666663,0.0
2959,288,8,4683,5920,12,1,206.33333333333331,120.81390648431164
2796,114,13,2599,3934,12,1,193.0,60.530983801686226
2785,315,2,2486,3829,23,1,204.0,60.03332407921454
2784,325,17,1798,3198,30,1,193.0,156.51836952894698
2789,320,15,1771,3174,30,1,196.33333333333331,188.74321179846442
2922,162,19,5076,4536,30,1,201.66666666666663,241.00622398602076
3008,135,3,5727,6096,29,1,204.0,931.6957657948221
2978,73,10,5160,6368,29,1,191.33333333333331,326.6955769519998
2892,54,11,3178,4457,12,1,188.66666666666663,134.5362404707371
2521,45,10,408,2066,20,1,190.0,42.04759208325728
2985,72,7,5372,6482,29,1,196.0,497.16999104933916
3057,39,19,4435,3955,29,1,173.33333333333337,642.3488148973266
2829,78,9,2941,4187,23,1,192.66666666666663,60.530983801686226
3201,331,5,4002,3460,20,1,202.0,0.0
3136,329,13,4228,3798,29,1,195.0,789.1070903242475
2548,355,14,551,2058,20,1,189.0,60.40695324215582
2962,89,9,4891,6046,12,1,193.66666666666663,42.1070065428546
2808,15,13,2431,3651,12,1,187.33333333333331,201.9925741209315
2749,87,12,1499,2797,12,1,189.66666666666663,517.7885668880687
3155,328,14,4184,3871,29,1,194.66666666666663,849.2125764495013
2991,285,11,5939,6068,20,1,206.66666666666663,854.6373499912112
2968,108,5,4113,5265,12,1,200.33333333333331,309.8983704377937
2932,77,13,3911,5067,30,1,186.66666666666663,110.02272492535349
2808,356,7,2592,3757,23,1,197.66666666666663,153.0294089382822
2794,106,4,1888,3079,12,1,201.0,213.23461257497573
3080,24,17,4377,4176,29,1,178.0,679.8308613177251
2936,52,16,4656,4456,23,1,178.33333333333337,182.01373574541017
2913,261,10,5706,5517,29,1,209.66666666666663,313.15970366571753
2919,232,8,5728,5539,29,1,211.0,323.5583409526016
2978,257,6,4795,5905,12,1,208.66666666666663,85.98837130682264
2574,312,14,636,1924,30,1,199.66666666666663,137.7679207943562
3142,59,21,4155,4070,29,1,169.33333333333334,730.7010332550516
2804,15,10,1917,3031,12,1,191.33333333333331,217.14741536569116
2595,9,14,799,2010,30,1,186.66666666666663,46.09772228646444
2929,232,8,5835,5776,29,1,210.66666666666663,367.484693558793
3001,246,9,5961,6227,29,1,210.66666666666663,770.6471306635742
2813,94,7,1800,2872,30,1,197.66666666666663,375.2026119312071
2988,342,6,4805,5836,12,1,200.33333333333331,193.75241933973368
3175,59,18,4042,4184,23,1,175.66666666666663,612.0
2861,0,6,2980,3972,30,1,198.0,134.3726162579266
2804,61,7,1838,2825,30,1,194.66666666666663,362.1380952067871
3001,78,10,5320,6310,12,1,191.0,336.2528810285497
2914,141,9,3471,4430,12,1,202.33333333333331,277.58422145359776
2668,41,17,1276,2240,30,1,176.33333333333337,291.0549776245031
3185,129,12,3899,4273,29,1,198.0,481.10393887391945
2913,216,9,5715,5983,16,1,211.0,268.7452325158532
3168,72,5,3855,4394,23,1,198.0,418.04305998305966
2955,30,9,4478,5370,20,1,191.66666666666663,30.14962686336267
2932,100,7,4280,5166,19,1,198.0,30.59411708155671
3234,0,11,3589,4109,23,1,192.33333333333331,658.5134774626864
3201,53,7,3667,4255,29,1,194.66666666666663,488.6921321241012
2903,236,5,5656,6046,16,1,208.66666666666663,212.235718011837
2874,352,2,2869,3653,29,1,203.0,400.4509957535379
2903,254,6,5689,6195,16,1,208.66666666666663,212.02122535255756
2800,45,12,2244,2958,20,1,187.0,0.0
3257,336,9,3443,4246,23,1,197.66666666666663,694.9481995084238
3188,278,5,3634,4526,29,1,206.66666666666663,210.40199618824911
2952,62,8,4487,5251,29,1,193.33333333333331,194.32961688841976
2932,237,16,5797,6409,29,1,213.0,343.8895171417704
3050,281,4,5540,6162,12,1,206.0,635.7082664241515
2955,285,11,4302,5057,29,1,206.66666666666663,212.8497122384712
2791,41,17,1740,2294,12,1,177.33333333333337,458.35357531058924
3172,162,3,3632,4624,29,1,205.0,180.13605968822566
3116,69,14,3870,4802,29,1,184.33333333333331,297.0605998782067
2895,51,10,3326,4002,12,1,190.33333333333331,162.0
3182,122,6,3510,4585,29,1,201.0,134.18271125595876
3024,81,9,4152,5114,29,1,193.33333333333331,223.4390297150433
2962,251,9,5863,6356,29,1,210.0,484.51625359733805
2978,27,4,4780,5502,12,1,199.0,192.43960091415696
2952,40,12,4558,5268,12,1,186.0,323.0
2945,348,13,3768,4425,12,1,190.66666666666663,257.0
3149,188,7,3718,4831,29,1,208.33333333333331,135.07405376311175
2833,150,15,1953,2407,30,1,200.66666666666663,243.09051812030842
3136,185,10,3623,4858,29,1,209.33333333333331,42.190046219457976
2851,49,13,2538,3037,29,1,184.66666666666663,271.9191056178289
2933,111,8,3644,4221,12,1,198.0,300.66592756745814
2810,110,6,1871,2178,12,1,200.66666666666663,421.0
3267,85,10,3194,4518,40,1,192.33333333333331,487.95491595023407
3188,30,16,3340,4753,29,1,179.0,85.98837130682264
2955,37,5,3905,4475,12,1,198.0,428.06541556168725
3001,276,9,5893,6012,29,1,207.66666666666663,759.0210800761729
3008,281,10,5864,5998,29,1,207.33333333333331,787.7182237323192
2942,28,5,3707,4228,12,1,198.66666666666663,392.07397261231205
2921,331,9,3516,4024,12,1,199.66666666666663,395.08100435227203
2985,315,5,5023,5570,12,1,203.33333333333331,361.55359215474544
2978,289,14,4480,5007,12,1,205.0,571.5452737972732
2889,51,20,2689,3049,29,1,170.66666666666666,367.96738985948195
2814,103,3,2145,2316,12,1,201.66666666666663,210.03809178337153
2938,127,9,2896,3239,12,1,199.33333333333331,421.79734470477644
2828,95,11,2467,2714,29,1,192.66666666666663,127.88275880665071
3146,95,12,3287,5052,30,1,191.0,241.6278129686233
2977,94,8,4283,4676,12,1,196.66666666666663,466.1544808322666
3034,45,2,5544,5490,12,1,201.66666666666663,681.5541064361655
3083,61,19,3320,5380,30,1,173.0,192.21082175569617
3044,23,5,3481,5476,20,1,197.66666666666663,211.482859825566
2982,90,8,3695,5609,20,1,196.33333333333331,244.51789300580847
2901,176,15,3181,3360,30,1,207.33333333333331,260.64727123068064
2995,66,6,4770,5126,29,1,196.33333333333331,247.34186867572583
2528,151,6,598,390,23,1,204.33333333333331,108.07404868885037
3188,112,8,2880,5166,29,1,198.0,60.07495318350236
2939,243,24,5619,5753,29,1,210.33333333333331,402.09575973889605
3008,215,11,5880,5600,29,1,212.0,704.9538992019266
3021,238,9,5855,5543,29,1,211.0,824.5301692479178
2937,80,11,4094,4354,12,1,191.0,330.3407331831786
2844,317,10,2758,2724,29,1,201.0,69.92138442565336
2781,13,3,2148,1707,29,1,201.0,351.8891871029856
2945,252,18,5615,5686,29,1,211.33333333333331,423.6153915995027
2857,143,12,3111,3161,30,1,200.66666666666663,85.37564055396598
3021,53,7,3544,5720,29,1,194.0,258.2789190003706
2919,141,3,3992,6047,29,1,204.0,192.02343606966312
2800,185,9,2382,2001,12,1,208.66666666666663,171.41761869772895
2773,151,18,1680,983,30,1,198.66666666666663,369.67688594230503
2759,144,17,1590,895,30,1,197.0,317.8443015062564
2714,117,20,1470,779,30,1,184.0,259.25470101813005
2671,109,26,1350,664,30,1,170.33333333333334,183.43936327844142
2975,126,9,4763,4928,29,1,199.66666666666663,120.03749414245534
2775,148,19,1770,1061,30,1,196.33333333333331,349.89426974444723
2746,149,18,1620,912,30,1,198.33333333333331,283.3513719747974
2743,148,19,1590,883,30,1,197.0,270.085171751431
2717,108,16,1500,794,30,1,188.0,215.96759016111653
2751,136,14,1680,967,30,1,198.0,287.5030434621519
2739,131,14,1620,908,30,1,196.66666666666663,253.3554814879678
2733,133,16,1590,878,30,1,195.33333333333331,241.29857024027308
2716,117,15,1500,789,30,1,191.66666666666663,185.6582882609877
2611,99,14,1200,495,30,1,188.66666666666663,30.066592756745816
3073,123,11,3060,5654,29,1,197.0,0.0
3060,167,18,3251,5755,29,1,204.0,96.33794683301072
2899,120,8,3944,4034,12,1,200.0,163.11039206623224
2861,107,8,3434,3406,23,1,198.0,30.0
2853,351,3,3342,3287,23,1,202.0,0.0
2785,202,8,2429,1860,12,1,209.66666666666663,135.20355024924456
2723,127,16,1560,845,30,1,193.66666666666663,202.1410398706804
2656,110,23,1350,636,30,1,177.33333333333337,91.92388155425118
3064,194,10,3111,5721,20,1,210.33333333333331,30.265491900843113
3050,167,16,3229,5783,29,1,205.0,67.26812023536856
3004,141,13,3500,5934,29,1,199.66666666666663,124.03628501370073
2952,58,10,3736,6078,29,1,189.66666666666663,201.63581031156147
3034,68,12,5550,5100,29,1,187.33333333333331,364.5449217860537
2703,130,20,1500,780,30,1,190.0,136.12494260788506
2685,128,23,1440,722,30,1,183.33333333333331,99.92997548283498
2661,119,25,1380,663,30,1,177.66666666666663,70.83784299369935
3057,101,4,3069,5740,20,1,201.33333333333331,0.0
3050,139,13,3127,5770,20,1,199.33333333333331,30.14962686336267
3060,342,5,5700,5139,12,1,200.66666666666663,499.7859541843888
2945,49,14,4671,4737,23,1,182.33333333333331,0.0
2704,123,18,1530,797,30,1,190.0,130.29197979921864
2676,129,24,1440,713,30,1,182.33333333333331,70.51950084905593
2621,81,14,1290,571,30,1,185.0,0.0
3060,45,13,3046,5768,29,1,184.66666666666663,30.14962686336267
2975,136,15,3543,6039,29,1,196.33333333333331,124.1974234837422
3067,21,4,5739,5125,12,1,199.66666666666663,523.545604508337
2719,128,16,1621,874,30,1,194.0,156.60459763365824
2638,86,15,1351,618,30,1,184.0,0.0
2700,115,19,1533,779,30,1,185.66666666666663,71.8679344353238
2673,108,22,1473,721,30,1,177.0,42.95346318982906
2654,71,11,1413,664,30,1,188.66666666666663,0.0
2664,50,12,1445,684,30,1,187.0,0.0
3050,80,8,5638,4978,29,1,194.33333333333331,364.8026863936174
2858,125,8,3288,3034,12,1,200.66666666666663,268.09140232390894
2854,163,9,3246,2974,12,1,206.0,285.0438562747845
3047,56,11,3182,5994,29,1,189.33333333333331,99.32774033471213
2873,351,6,3459,3242,12,1,199.66666666666663,201.30076999355964
2680,23,12,1511,730,29,1,187.66666666666663,0.0
2676,9,14,1481,700,29,1,186.66666666666663,30.066592756745816
2678,9,15,1421,641,29,1,184.33333333333331,42.579337712087536
2839,120,9,3055,2612,12,1,199.0,191.38704240360684
2792,86,7,2862,2282,12,1,197.0,228.0350850198276
3103,74,11,2870,5920,29,1,189.33333333333331,206.8864422817503
2995,6,14,5167,4670,29,1,187.0,201.41995928904365
2702,90,1,1727,932,20,1,202.66666666666663,0.0
2991,282,8,5024,4582,29,1,207.0,269.9036865253974
3004,31,6,5222,4624,29,1,197.33333333333331,180.46883387443938
