Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,SoilType,WildernessArea,Average_Hillshade
2722,315,24,30,19,3216,6132,16,1,186.66666666666666
2500,74,11,190,9,930,5279,18,1,189.33333333333334
2486,68,5,180,-4,870,5262,18,1,198.0
2489,11,4,175,13,840,5254,18,1,200.33333333333334
2489,42,6,162,13,810,5247,18,1,196.33333333333334
2490,75,5,134,17,810,5218,18,1,198.0
2952,107,11,42,7,5845,3509,29,1,193.66666666666666
2705,90,8,134,22,2023,6615,12,1,196.33333333333334
2507,40,7,153,10,930,5221,18,1,194.33333333333334
2500,49,14,150,27,870,5205,18,1,183.66666666666666
2493,63,10,127,20,840,5197,18,1,191.33333333333334
2509,59,7,134,10,900,5184,18,1,195.33333333333334
2919,13,13,90,6,5321,4060,29,1,187.66666666666666
2740,54,6,218,42,2287,6686,12,1,196.33333333333334
2640,80,8,180,-2,1092,5866,29,1,194.33333333333334
2843,166,12,242,53,4434,4956,30,1,206.0
3008,45,14,277,10,6371,3036,29,1,182.33333333333334
2893,114,16,108,30,5066,4340,29,1,190.0
2850,6,9,0,0,4858,4548,16,1,194.66666666666666
2628,30,10,240,19,960,5645,29,1,190.33333333333334
2864,118,18,201,74,4567,4849,30,1,187.33333333333334
2827,160,28,134,65,3948,5474,30,1,192.0
2529,326,5,30,14,1062,5047,16,1,202.33333333333334
2808,99,7,382,95,3107,6341,12,1,197.66666666666666
2840,153,26,134,42,4613,4833,30,1,191.33333333333334
2795,79,10,531,96,2980,6497,20,1,192.33333333333334
2746,143,16,67,22,2440,6597,12,1,198.33333333333334
2847,352,26,150,82,3697,5796,29,1,168.33333333333334
2840,14,14,216,88,3552,5944,12,1,185.33333333333334
2537,42,7,210,17,1132,4919,18,1,194.33333333333334
2860,358,17,175,98,3705,5800,29,1,182.66666666666666
2818,332,26,30,17,4526,4978,29,1,176.33333333333334
2801,18,7,560,58,3084,6457,12,1,196.33333333333334
2791,63,10,418,48,2942,6606,12,1,191.33333333333334
2745,306,11,67,24,2416,6428,29,1,202.66666666666666
2514,102,6,272,-5,1082,4811,18,1,200.0
2788,13,16,30,8,4126,5396,29,1,182.0
2562,354,12,67,9,1057,5031,30,1,191.33333333333334
3073,173,12,108,-3,6836,2735,29,1,207.33333333333334
2978,71,10,426,85,5742,3792,29,1,191.0
2860,31,10,295,98,3644,5904,12,1,190.33333333333334
3067,164,11,85,7,6811,2774,29,1,205.66666666666666
2804,72,5,543,61,3115,6471,12,1,199.0
2562,59,3,0,0,1116,5091,16,1,200.66666666666666
2567,34,9,190,16,1136,4924,18,1,192.66666666666666
2998,45,8,351,16,5842,3721,29,1,193.0
2684,84,12,150,2,1677,5693,29,1,190.0
2676,42,11,150,-5,1634,5655,29,1,188.66666666666666
2863,102,15,190,71,4389,5184,29,1,187.66666666666666
2574,170,5,170,23,1180,4910,18,1,206.33333333333334
2511,211,6,162,30,1071,4660,18,1,209.0
3067,32,4,30,-2,6679,2947,20,1,198.66666666666666
2909,57,16,134,23,5502,4084,29,1,178.0
2863,348,14,309,89,3918,5695,29,1,190.0
2567,333,1,0,0,1266,5079,16,1,203.66666666666666
3182,105,11,408,33,6000,1184,29,1,193.66666666666666
2818,324,12,242,26,4156,5467,16,1,197.66666666666666
2752,332,6,342,24,2372,6131,12,1,201.66666666666666
2751,88,5,400,30,2322,6088,12,1,198.66666666666666
2569,102,7,228,18,1266,4844,18,1,198.33333333333334
3195,111,15,469,46,5941,1206,29,1,189.33333333333334
2982,53,14,240,63,5756,3880,29,1,182.66666666666666
2850,58,6,295,58,4394,5239,29,1,196.33333333333334
2586,76,4,190,30,1290,4875,18,1,200.0
2837,17,13,330,45,4241,5428,29,1,185.66666666666666
2723,99,6,301,34,2109,5793,12,1,199.33333333333334
3070,0,11,30,-6,6890,2858,29,1,192.33333333333334
3057,124,12,150,53,6508,3211,29,1,196.33333333333334
2818,119,19,30,10,5213,4497,29,1,186.66666666666666
2847,320,33,85,39,4983,4727,29,1,169.66666666666666
2606,112,11,30,4,1584,5106,16,1,195.33333333333334
2893,83,6,551,101,4011,5755,12,1,198.0
2716,1,10,234,27,2100,5581,12,1,193.66666666666666
2644,125,20,67,25,1719,5168,29,1,186.66666666666666
2613,37,5,216,34,1519,4818,12,1,198.33333333333334
2929,356,12,0,0,5757,4017,24,1,191.66666666666666
2767,307,12,30,8,2796,6192,29,1,202.0
2991,49,13,85,0,6199,3613,24,1,184.33333333333334
2939,56,18,95,20,5563,4224,24,1,175.66666666666666
2537,7,12,0,0,1583,4509,16,1,189.66666666666666
3119,119,7,162,10,6660,2556,29,1,200.0
2942,346,12,30,3,5918,3900,24,1,193.33333333333334
2886,12,7,570,94,4295,5518,29,1,196.33333333333334
2775,344,13,42,7,2854,6177,29,1,192.33333333333334
2490,79,9,240,13,878,4184,18,1,193.33333333333334
3106,228,18,658,108,5984,1655,29,1,213.66666666666666
2831,284,24,60,23,5208,4611,24,1,199.66666666666666
2837,112,8,272,16,3649,6221,12,1,198.0
2890,299,23,180,79,5104,4734,24,1,195.33333333333334
2824,135,5,218,6,3583,6316,20,1,203.0
2728,135,3,242,32,2250,5515,12,1,204.0
2962,88,16,190,23,6095,3811,24,1,183.0
3142,220,11,424,69,6216,1989,29,1,212.33333333333334
2847,2,6,175,10,3757,6194,20,1,198.33333333333334
2536,34,5,242,16,1242,4201,18,1,197.66666666666666
3168,95,6,30,0,4884,1239,29,1,198.66666666666666
2926,289,24,210,99,5126,4814,24,1,197.66666666666666
2893,21,6,295,36,4106,5865,12,1,197.0
2687,20,11,150,39,1986,4936,12,1,189.66666666666666
3109,211,17,424,55,6089,2017,29,1,213.0
3119,200,20,60,0,6297,2377,29,1,211.0
2916,349,10,488,36,4472,5502,29,1,195.0
2795,18,3,218,17,3042,6073,12,1,201.0
2555,58,14,285,19,1231,4159,18,1,182.66666666666666
2499,42,13,497,-7,953,3950,18,1,185.66666666666666
3027,173,11,335,42,5678,1900,29,1,207.0
3096,160,15,85,16,6156,2310,29,1,203.66666666666666
2916,105,13,268,89,5618,4417,29,1,191.0
2591,42,12,350,22,1398,4224,29,1,186.66666666666666
3185,328,16,127,13,4763,1392,29,1,192.33333333333334
3021,221,10,324,39,5675,1937,29,1,211.66666666666666
3083,257,4,510,-25,6363,2873,29,1,207.33333333333334
2860,276,33,60,33,5292,4759,24,1,193.66666666666666
3008,196,15,228,20,5535,1924,23,1,210.66666666666666
3034,189,14,384,66,5754,2012,29,1,210.0
2873,130,16,67,16,4030,6091,30,1,194.66666666666666
3182,49,13,319,7,4767,1513,29,1,184.66666666666666
2998,102,12,384,158,6026,4121,29,1,192.66666666666666
2658,357,20,300,54,1597,4286,29,1,177.33333333333334
3175,15,7,366,92,4816,1584,29,1,196.33333333333334
2952,8,7,488,125,4953,5192,20,1,197.0
2622,95,12,484,39,1329,4086,29,1,191.0
2955,288,21,247,128,5224,4968,24,1,201.33333333333334
2837,66,9,201,23,3655,6341,20,1,191.33333333333334
3182,45,3,458,109,4723,1661,29,1,200.33333333333334
3077,129,3,618,43,6296,3261,29,1,203.0
2755,320,4,30,-1,2890,5468,12,1,203.33333333333334
3047,28,11,600,13,6414,3540,29,1,188.33333333333334
2880,86,12,30,3,4369,5906,30,1,190.33333333333334
3221,292,3,424,49,4401,1710,29,1,205.0
3182,115,10,553,10,4605,1768,29,1,197.33333333333334
3064,29,24,150,46,5051,2148,29,1,163.33333333333334
2827,332,15,42,9,3599,6067,29,1,193.33333333333334
2518,107,5,360,39,553,3522,18,1,200.66666666666666
3050,180,4,277,-3,5782,2721,29,1,206.33333333333334
3107,356,12,283,89,4855,2069,29,1,191.66666666666666
2995,173,15,268,135,6312,4135,30,1,206.66666666666666
2721,164,4,67,-2,1747,4191,12,1,205.66666666666666
3182,116,7,579,10,4425,1854,29,1,199.66666666666666
2724,132,11,60,-2,2720,4875,12,1,198.66666666666666
2515,90,9,313,39,511,3451,18,1,195.0
3017,46,22,212,52,5118,2352,29,1,167.0
3077,256,4,618,210,6230,3734,29,1,207.33333333333334
2929,338,8,190,39,4393,6106,12,1,198.33333333333334
2735,127,12,67,6,2806,4924,12,1,197.33333333333334
2893,319,20,150,43,5825,4667,24,1,191.0
3231,45,4,648,59,4173,1921,29,1,199.66666666666666
2560,89,10,218,34,731,3505,29,1,193.0
3162,43,15,484,144,4657,2188,29,1,180.33333333333334
2982,188,14,120,-2,5501,2750,29,1,210.0
2731,66,5,0,0,2826,4873,20,1,198.66666666666666
3172,50,11,759,0,4287,2037,20,1,187.66666666666666
2916,138,21,127,49,6349,4206,29,1,190.66666666666666
2890,63,17,153,35,3670,5757,30,1,177.0
2704,45,10,323,22,1323,3734,12,1,190.66666666666666
3198,23,18,604,180,4545,2285,29,1,177.0
2985,214,5,342,63,5495,3195,29,1,208.66666666666666
3011,323,21,443,161,5838,4910,24,1,188.66666666666666
3024,312,18,474,177,5785,4961,24,1,195.66666666666666
2763,7,12,85,17,2850,4788,24,1,189.66666666666666
3244,56,16,618,76,3865,2225,40,1,179.0
2955,9,10,85,10,5167,2819,16,1,193.0
3201,10,13,984,180,4136,2289,23,1,187.0
2972,36,25,30,0,5113,2816,29,1,158.33333333333334
2985,167,13,458,66,5571,3519,29,1,206.0
2539,23,17,90,15,488,3115,29,1,177.66666666666666
3001,260,8,720,134,5790,3903,29,1,209.33333333333334
2952,51,10,150,16,5123,2960,16,1,189.66666666666666
2962,211,13,255,43,5365,3337,29,1,212.66666666666666
3004,0,12,484,85,5068,5840,12,1,190.33333333333334
2727,45,4,124,21,2285,4245,12,1,199.66666666666666
3004,167,17,603,137,5798,4031,29,1,204.33333333333334
2886,22,8,285,31,3849,5557,29,1,193.66666666666666
3024,344,8,600,105,5201,5764,12,1,197.66666666666666
3034,187,14,335,148,6084,4921,30,1,209.33333333333334
2903,279,13,190,26,4179,5904,29,1,207.33333333333334
2926,245,4,30,7,5180,3331,23,1,208.0
2942,200,16,180,23,5276,3470,29,1,211.33333333333334
2991,54,13,495,65,4849,6214,12,1,184.33333333333334
2742,116,9,150,21,2475,4314,12,1,197.66666666666666
2606,356,18,67,26,911,3174,29,1,181.66666666666666
3244,326,5,750,53,3730,2460,23,1,202.33333333333334
3237,27,14,997,36,4002,2506,23,1,184.33333333333334
2616,359,24,42,15,977,3186,29,1,168.33333333333334
2913,16,11,457,58,3974,5568,29,1,190.0
2813,48,7,201,35,3018,4729,24,1,195.0
2530,149,1,319,51,234,2726,29,1,204.33333333333334
3260,45,7,503,69,3558,2531,40,1,195.0
3047,90,3,870,128,5484,5635,12,1,201.33333333333334
2955,60,20,201,33,4934,3248,29,1,171.33333333333334
2893,77,13,85,7,6012,4682,29,1,186.0
2965,38,24,247,49,4883,3315,29,1,161.66666666666666
3037,230,15,570,151,5985,5238,29,1,213.0
3027,152,10,792,108,5316,5912,12,1,203.66666666666666
2756,70,16,120,35,2501,4210,12,1,181.0
2939,325,6,510,62,4078,5584,20,1,202.33333333333334
3198,126,9,418,23,4200,2858,19,1,199.66666666666666
3195,90,7,362,20,4243,2880,23,1,197.33333333333334
2975,222,6,360,89,5719,4519,29,1,209.0
2890,84,13,30,4,5918,4761,30,1,188.0
3018,109,10,815,132,5833,5486,29,1,196.0
3011,85,5,842,85,5389,5975,12,1,198.66666666666666
3221,79,16,618,20,3968,2868,23,1,181.66666666666666
3004,135,7,811,78,5383,6017,29,1,202.0
2572,49,20,384,53,391,2509,29,1,170.0
3260,128,11,743,46,3824,2854,23,1,198.33333333333334
3168,25,4,30,0,4426,3180,20,1,199.66666666666666
2878,349,12,67,0,3489,4924,29,1,193.0
3198,9,8,301,23,4099,3076,19,1,195.0
2975,260,8,391,66,6071,5262,29,1,209.33333333333334
3178,38,10,0,0,4286,3248,29,1,189.33333333333334
2995,176,10,690,86,6068,5533,29,1,208.0
2913,144,8,210,20,5478,4733,30,1,203.33333333333334
2982,175,9,424,56,5267,6500,12,1,207.66666666666666
2945,209,12,362,36,5877,5354,29,1,211.66666666666666
2995,143,2,631,23,5459,6349,29,1,204.0
2942,0,3,0,0,4830,6062,20,1,201.33333333333334
2945,288,5,0,0,4801,6034,20,1,205.66666666666666
2959,288,8,120,14,4683,5920,12,1,206.33333333333334
2796,114,13,60,8,2599,3934,12,1,193.0
2785,315,2,60,-2,2486,3829,23,1,204.0
2784,325,17,153,33,1798,3198,30,1,193.0
2789,320,15,182,50,1771,3174,30,1,196.33333333333334
2922,162,19,240,22,5076,4536,30,1,201.66666666666666
3008,135,3,931,36,5727,6096,29,1,204.0
2978,73,10,323,49,5160,6368,29,1,191.33333333333334
2892,54,11,134,12,3178,4457,12,1,188.66666666666666
2521,45,10,42,2,408,2066,20,1,190.0
2985,72,7,497,13,5372,6482,29,1,196.0
3057,39,19,626,144,4435,3955,29,1,173.33333333333334
2829,78,9,60,8,2941,4187,23,1,192.66666666666666
3201,331,5,0,0,4002,3460,20,1,202.0
3136,329,13,789,-13,4228,3798,29,1,195.0
2548,355,14,60,7,551,2058,20,1,189.0
2962,89,9,42,3,4891,6046,12,1,193.66666666666666
2808,15,13,201,20,2431,3651,12,1,187.33333333333334
2749,87,12,516,43,1499,2797,12,1,189.66666666666666
3155,328,14,849,-19,4184,3871,29,1,194.66666666666666
2991,285,11,849,98,5939,6068,20,1,206.66666666666666
2968,108,5,306,49,4113,5265,12,1,200.33333333333334
2932,77,13,108,21,3911,5067,30,1,186.66666666666666
2808,356,7,153,3,2592,3757,23,1,197.66666666666666
2794,106,4,210,37,1888,3079,12,1,201.0
3080,24,17,659,167,4377,4176,29,1,178.0
2936,52,16,180,27,4656,4456,23,1,178.33333333333334
2913,261,10,313,10,5706,5517,29,1,209.66666666666666
2919,232,8,323,19,5728,5539,29,1,211.0
2978,257,6,85,13,4795,5905,12,1,208.66666666666666
2574,312,14,134,32,636,1924,30,1,199.66666666666666
3142,59,21,730,-32,4155,4070,29,1,169.33333333333334
2804,15,10,212,47,1917,3031,12,1,191.33333333333334
2595,9,14,42,19,799,2010,30,1,186.66666666666666
2929,232,8,366,33,5835,5776,29,1,210.66666666666666
3001,246,9,764,101,5961,6227,29,1,210.66666666666666
2813,94,7,371,56,1800,2872,30,1,197.66666666666666
2988,342,6,192,26,4805,5836,12,1,200.33333333333334
3175,59,18,612,0,4042,4184,23,1,175.66666666666666
2861,0,6,134,10,2980,3972,30,1,198.0
2804,61,7,362,10,1838,2825,30,1,194.66666666666666
3001,78,10,335,29,5320,6310,12,1,191.0
2914,141,9,277,18,3471,4430,12,1,202.33333333333334
2668,41,17,283,68,1276,2240,30,1,176.33333333333334
3185,129,12,481,10,3899,4273,29,1,198.0
2913,216,9,268,20,5715,5983,16,1,211.0
3168,72,5,418,-6,3855,4394,23,1,198.0
2955,30,9,30,3,4478,5370,20,1,191.66666666666666
2932,100,7,30,-6,4280,5166,19,1,198.0
3234,0,11,658,26,3589,4109,23,1,192.33333333333334
3201,53,7,488,26,3667,4255,29,1,194.66666666666666
2903,236,5,212,10,5656,6046,16,1,208.66666666666666
2874,352,2,400,19,2869,3653,29,1,203.0
2903,254,6,212,3,5689,6195,16,1,208.66666666666666
2800,45,12,0,0,2244,2958,20,1,187.0
3257,336,9,693,52,3443,4246,23,1,197.66666666666666
3188,278,5,210,13,3634,4526,29,1,206.66666666666666
2952,62,8,192,30,4487,5251,29,1,193.33333333333334
2932,237,16,342,36,5797,6409,29,1,213.0
3050,281,4,630,85,5540,6162,12,1,206.0
2955,285,11,212,19,4302,5057,29,1,206.66666666666666
2791,41,17,458,-18,1740,2294,12,1,177.33333333333334
3172,162,3,180,7,3632,4624,29,1,205.0
3116,69,14,297,-6,3870,4802,29,1,184.33333333333334
2895,51,10,162,0,3326,4002,12,1,190.33333333333334
3182,122,6,134,7,3510,4585,29,1,201.0
3024,81,9,218,49,4152,5114,29,1,193.33333333333334
2962,251,9,480,66,5863,6356,29,1,210.0
2978,27,4,192,13,4780,5502,12,1,199.0
2952,40,12,323,0,4558,5268,12,1,186.0
2945,348,13,255,32,3768,4425,12,1,190.66666666666666
3149,188,7,134,17,3718,4831,29,1,208.33333333333334
2833,150,15,242,23,1953,2407,30,1,200.66666666666666
3136,185,10,42,4,3623,4858,29,1,209.33333333333334
2851,49,13,268,46,2538,3037,29,1,184.66666666666666
2933,111,8,300,20,3644,4221,12,1,198.0
2810,110,6,421,0,1871,2178,12,1,200.66666666666666
3267,85,10,484,62,3194,4518,40,1,192.33333333333334
3188,30,16,85,13,3340,4753,29,1,179.0
2955,37,5,426,42,3905,4475,12,1,198.0
3001,276,9,752,103,5893,6012,29,1,207.66666666666666
3008,281,10,780,110,5864,5998,29,1,207.33333333333334
2942,28,5,391,29,3707,4228,12,1,198.66666666666666
2921,331,9,395,8,3516,4024,12,1,199.66666666666666
2985,315,5,361,20,5023,5570,12,1,203.33333333333334
2978,289,14,570,42,4480,5007,12,1,205.0
2889,51,20,362,66,2689,3049,29,1,170.66666666666666
2814,103,3,210,4,2145,2316,12,1,201.66666666666666
2938,127,9,408,107,2896,3239,12,1,199.33333333333334
2828,95,11,127,15,2467,2714,29,1,192.66666666666666
3146,95,12,240,-28,3287,5052,30,1,191.0
2977,94,8,466,12,4283,4676,12,1,196.66666666666666
3034,45,2,680,46,5544,5490,12,1,201.66666666666666
3083,61,19,192,-9,3320,5380,30,1,173.0
3044,23,5,210,-25,3481,5476,20,1,197.66666666666666
2982,90,8,242,-35,3695,5609,20,1,196.33333333333334
2901,176,15,256,49,3181,3360,30,1,207.33333333333334
2995,66,6,247,13,4770,5126,29,1,196.33333333333334
2528,151,6,108,4,598,390,23,1,204.33333333333334
3188,112,8,60,3,2880,5166,29,1,198.0
2939,243,24,400,41,5619,5753,29,1,210.33333333333334
3008,215,11,696,112,5880,5600,29,1,212.0
3021,238,9,815,125,5855,5543,29,1,211.0
2937,80,11,330,15,4094,4354,12,1,191.0
2844,317,10,67,20,2758,2724,29,1,201.0
2781,13,3,351,25,2148,1707,29,1,201.0
2945,252,18,421,47,5615,5686,29,1,211.33333333333334
2857,143,12,85,8,3111,3161,30,1,200.66666666666666
3021,53,7,258,-12,3544,5720,29,1,194.0
2919,141,3,192,3,3992,6047,29,1,204.0
2800,185,9,170,22,2382,2001,12,1,208.66666666666666
2773,151,18,350,119,1680,983,30,1,198.66666666666666
2759,144,17,300,105,1590,895,30,1,197.0
2714,117,20,242,93,1470,779,30,1,184.0
2671,109,26,175,55,1350,664,30,1,170.33333333333334
2975,126,9,120,3,4763,4928,29,1,199.66666666666666
2775,148,19,335,101,1770,1061,30,1,196.33333333333334
2746,149,18,268,92,1620,912,30,1,198.33333333333334
2743,148,19,255,89,1590,883,30,1,197.0
2717,108,16,201,79,1500,794,30,1,188.0
2751,136,14,277,77,1680,967,30,1,198.0
2739,131,14,242,75,1620,908,30,1,196.66666666666666
2733,133,16,228,79,1590,878,30,1,195.33333333333334
2716,117,15,175,62,1500,789,30,1,191.66666666666666
2611,99,14,30,2,1200,495,30,1,188.66666666666666
3073,123,11,0,0,3060,5654,29,1,197.0
3060,167,18,95,16,3251,5755,29,1,204.0
2899,120,8,162,19,3944,4034,12,1,200.0
2861,107,8,30,0,3434,3406,23,1,198.0
2853,351,3,0,0,3342,3287,23,1,202.0
2785,202,8,134,18,2429,1860,12,1,209.66666666666666
2723,127,16,190,69,1560,845,30,1,193.66666666666666
2656,110,23,85,35,1350,636,30,1,177.33333333333334
3064,194,10,30,4,3111,5721,20,1,210.33333333333334
3050,167,16,67,6,3229,5783,29,1,205.0
3004,141,13,124,3,3500,5934,29,1,199.66666666666666
2952,58,10,201,16,3736,6078,29,1,189.66666666666666
3034,68,12,362,43,5550,5100,29,1,187.33333333333334
2703,130,20,127,49,1500,780,30,1,190.0
2685,128,23,95,31,1440,722,30,1,183.33333333333334
2661,119,25,67,23,1380,663,30,1,177.66666666666666
3057,101,4,0,0,3069,5740,20,1,201.33333333333334
3050,139,13,30,-3,3127,5770,20,1,199.33333333333334
3060,342,5,495,69,5700,5139,12,1,200.66666666666666
2945,49,14,0,0,4671,4737,23,1,182.33333333333334
2704,123,18,124,40,1530,797,30,1,190.0
2676,129,24,67,22,1440,713,30,1,182.33333333333334
2621,81,14,0,0,1290,571,30,1,185.0
3060,45,13,30,3,3046,5768,29,1,184.66666666666666
2975,136,15,124,7,3543,6039,29,1,196.33333333333334
3067,21,4,518,76,5739,5125,12,1,199.66666666666666
2719,128,16,150,45,1621,874,30,1,194.0
2638,86,15,0,0,1351,618,30,1,184.0
2700,115,19,67,26,1533,779,30,1,185.66666666666666
2673,108,22,42,9,1473,721,30,1,177.0
2654,71,11,0,0,1413,664,30,1,188.66666666666666
2664,50,12,0,0,1445,684,30,1,187.0
3050,80,8,360,59,5638,4978,29,1,194.33333333333334
2858,125,8,268,7,3288,3034,12,1,200.66666666666666
2854,163,9,285,5,3246,2974,12,1,206.0
3047,56,11,95,29,3182,5994,29,1,189.33333333333334
2873,351,6,201,11,3459,3242,12,1,199.66666666666666
2680,23,12,0,0,1511,730,29,1,187.66666666666666
2676,9,14,30,2,1481,700,29,1,186.66666666666666
2678,9,15,42,7,1421,641,29,1,184.33333333333334
2839,120,9,190,23,3055,2612,12,1,199.0
2792,86,7,228,4,2862,2282,12,1,197.0
3103,74,11,201,49,2870,5920,29,1,189.33333333333334
2995,6,14,201,13,5167,4670,29,1,187.0
2702,90,1,0,0,1727,932,20,1,202.66666666666666
2991,282,8,268,32,5024,4582,29,1,207.0
3004,31,6,180,13,5222,4624,29,1,197.33333333333334
2919,117,6,150,0,3903,6349,20,1,200.33333333333334
2945,258,14,376,45,5535,5134,29,1,210.66666666666666
3054,270,1,390,63,5742,4830,12,1,205.0
2978,75,5,295,50,4847,4455,29,1,198.0
2915,81,8,0,0,4345,4260,23,1,195.0
2756,30,4,150,2,2571,1770,12,1,199.33333333333334
2717,155,4,0,0,2037,1230,20,1,204.66666666666666
2928,315,1,150,23,4194,4050,29,1,204.0
2770,95,3,258,7,2813,2011,12,1,202.0
2656,77,23,283,-23,1320,518,30,1,166.0
2750,124,5,150,9,2370,1565,12,1,201.66666666666666
2907,45,7,350,13,4041,3783,29,1,195.0
2781,65,13,42,6,3162,2465,20,1,186.0
2715,203,5,124,-1,1920,1120,12,1,208.66666666666666
2968,338,11,216,23,3426,6508,20,1,196.0
2739,130,8,134,26,2160,1366,12,1,201.0
2922,129,3,218,18,4283,4027,29,1,203.0
2792,101,6,108,29,3180,2442,12,1,199.0
3064,90,8,371,23,2822,6357,29,1,196.33333333333334
3041,243,14,513,50,5911,4636,29,1,212.33333333333334
2888,32,8,470,72,3700,3164,12,1,194.66666666666666
3080,180,1,247,39,2715,6347,29,1,205.0
2613,132,27,170,55,1260,558,30,1,179.66666666666666
2978,135,4,108,13,3247,6576,29,1,203.33333333333334
2952,353,12,0,0,4928,4105,20,1,192.0
2773,81,14,108,24,3019,2338,12,1,186.33333333333334
3057,90,8,390,16,2783,6452,29,1,196.33333333333334
3064,45,16,228,60,5623,4361,29,1,178.66666666666666
2742,174,9,268,23,2455,1725,12,1,207.66666666666666
2677,167,16,85,9,1680,953,12,1,205.0
2567,140,18,60,9,1110,492,30,1,195.33333333333334
2739,142,6,228,20,2465,1761,12,1,203.66666666666666
3001,267,14,641,101,5749,4570,29,1,209.33333333333334
3014,5,31,95,54,4950,3973,29,1,150.66666666666666
2584,343,13,150,39,812,480,29,1,192.0
2902,104,6,558,89,3643,3107,12,1,199.66666666666666
3047,155,9,424,85,2760,6661,29,1,204.66666666666666
2909,212,6,212,50,4092,3586,30,1,209.66666666666666
2910,198,5,234,51,4063,3556,30,1,207.66666666666666
3011,108,10,212,36,2912,6632,29,1,196.0
2998,68,8,124,23,2987,6557,29,1,194.33333333333334
3011,263,12,674,111,5753,4386,29,1,210.33333333333334
3008,24,12,309,36,5353,3950,20,1,187.33333333333334
3004,18,10,192,29,5232,3899,29,1,191.33333333333334
3031,81,6,513,27,5542,4002,29,1,198.0
2939,288,5,379,39,5448,4506,29,1,205.66666666666666
2949,277,12,437,49,5506,4471,29,1,207.66666666666666
3028,323,9,242,53,5079,3771,29,1,200.0
2900,315,1,90,0,5152,4667,16,1,204.0
2932,96,7,247,17,3861,5585,29,1,196.66666666666666
2909,72,5,324,5,4554,5006,19,1,198.0
2909,0,3,350,5,4582,4985,19,1,201.33333333333334
2900,180,3,300,-2,4725,4880,8,1,205.66666666666666
2867,143,12,437,114,3363,2963,12,1,201.0
3047,356,10,618,75,5664,3811,29,1,194.0
2617,15,14,30,0,1652,1383,29,1,185.66666666666666
